"ate","id","object.pair","object.side","trial","distance.moved","mean.velocity","periphery.visits","time.in.periphery","latency.to.periphery","center.visits","time.in.center","latency.to.center","left.object.visits","time.with.left.object","left.object.latency","right.object.visits","time.with.right.object","right.object.latency","rewarding.object.colour","reward.object.side","time.with.trained.object","time.with.untrained.object","green.object.preference","rewarding.object.preference","prop.rewarding.object.preference","time.with.both.objects","total.time","trial.type","weight"
"NA","3a","pair-c","left",25,960.537,3.20079,25,171.968,1.40137,25,128.326,0,9,74.6731,10.4102,12,86.0843,0,"blue","right",86.0843,74.6731,-11.4112,11.4112,0.535491989793316,160.7574,300.294,"test",0.2
"NA","3b","pair-c","left",25,621.682,2.07162,23,84.4827,0,23,215.811,9.00882,8,107.505,0,7,72.8713,22.0216,"green","right",72.8713,107.505,-34.6337,-34.6337,0.403995979516156,180.3763,300.2937,"test",0.12
"NA","4a","pair-c","right",25,632.068,2.10624,22,202.999,8.80862,22,97.2953,0,13,198.995,6.60647,2,14.0137,0,"green","left",198.995,14.0137,184.9813,184.9813,0.93421066839054,213.0087,300.2943,"test",0.21
"NA","4b","pair-c","left",25,999.264,3.32984,28,170.167,5.0049,28,130.127,0,11,71.6702,49.6486,11,79.4778,0,"green","right",79.4778,71.6702,7.80760000000001,7.80760000000001,0.52582766559928,151.148,300.294,"test",0.11
"NA","5a","pair-c","right",25,607.293,2.02368,20,175.372,0,19,124.922,10.4102,9,148.946,52.6515,5,76.6751,0,"green","left",148.946,76.6751,72.2709,72.2709,0.66015988752825,225.6211,300.294,"test",0.18
"NA","5b","pair-c","left",25,1014.64,3.38107,33,205.401,0,32,94.8929,2.60255,13,86.0843,0,6,35.8351,17.4171,"blue","right",35.8351,86.0843,50.2492,-50.2492,0.293924510783354,121.9194,300.2939,"test",0.13
"NA","6a","pair-c","left",25,823.57,2.74438,32,133.731,2.00196,33,166.563,0,6,68.2668,0,12,131.329,27.0265,"green","right",131.329,68.2668,63.0622,63.0622,0.657974767004115,199.5958,300.294,"test",0.15
"NA","6b","pair-c","right",25,681.342,2.27043,24,154.351,1.20118,24,145.943,0,10,153.751,0,3,24.2237,102.5,"green","left",153.751,24.2237,129.5273,129.5273,0.863892452129432,177.9747,300.294,"test",0.11
"NA","7a","pair-c","right",25,818.651,2.72798,18,210.606,8.40823,18,89.6878,0,8,51.8508,6.80666,14,69.0676,0,"blue","left",51.8508,69.0676,17.2168,-17.2168,0.428808188001164,120.9184,300.2938,"test",0.31
"NA","7b","pair-c","right",25,652.629,2.17475,20,77.8762,0,20,222.418,1.00098,10,111.709,0,4,45.4445,57.2561,"blue","left",111.709,45.4445,-66.2645,66.2645,0.710827312150223,157.1535,300.2942,"test",0.13
"NA","8a","pair-c","left",25,822.379,2.74041,15,193.389,4.8047,16,106.905,0,7,44.8439,23.8233,10,97.6956,0,"green","right",97.6956,44.8439,52.8517,52.8517,0.685393171717313,142.5395,300.294,"test",0.17
"NA","8b","pair-c","left",25,872.306,2.90678,17,166.163,0.800784,17,134.131,0,14,107.705,0,5,17.4171,68.0666,"blue","right",17.4171,107.705,90.2879,-90.2879,0.139200828630594,125.1221,300.294,"test",0.14
"yes","1a","pair-1","right",26,119.235,0.403243,2,296.69,3.20314,0,0,300,2,296.69,3.20314,0,0,300,"blue","left",296.69,0,-296.69,296.69,1,296.69,296.69,"refresher",0.29
"yes","1b","pair-1","left",26,216.864,0.722654,13,205.801,0.200196,13,94.2923,0.400392,1,54.6535,245.64,1,236.031,0,"green","right",236.031,54.6535,181.3775,181.3775,0.811983439089459,290.6845,300.0933,"refresher",0.1
"yes","2a","pair-1","right",26,214.12,0.71351,3,296.49,0,2,3.80372,0.200196,2,285.479,13.4131,1,4.60451,0.200196,"blue","left",285.479,4.60451,-280.87449,280.87449,0.98412695020134,290.08351,300.29372,"refresher",0.2
"yes","2b","pair-1","left",26,168.624,0.675455,3,205.801,76.2747,3,44.0431,50.4494,2,20.2198,50.4494,1,205.401,94.8929,"blue","right",205.401,20.2198,-185.1812,185.1812,0.910381489649891,225.6208,249.8441,"refresher",0.11
"yes","3a","pair-1","right",26,255.111,0.850105,5,286.881,0,4,13.4131,218.214,1,300.294,0,0,0,300,"blue","left",300.294,0,-300.294,300.294,1,300.294,300.2941,"refresher",0.2
"yes","3b","pair-1","left",26,424.406,1.41425,9,206.802,0,8,93.4915,137.334,3,29.0284,197.994,3,194.991,0,"green","right",194.991,29.0284,165.9626,165.9626,0.870420151111913,224.0194,300.2935,"refresher",0.12
"yes","4a","pair-1","right",26,145.65,0.485349,1,300.294,0,0,0,300,1,300.294,0,0,0,300,"green","left",300.294,0,300.294,300.294,1,300.294,300.294,"refresher",0.21
"yes","4b","pair-1","left",26,160.345,0.534317,1,300.294,0,0,0,300,0,0,300,1,300.294,0,"green","right",300.294,0,300.294,300.294,1,300.294,300.294,"refresher",0.11
"yes","5a","pair-1","right",26,271.403,0.904395,5,265.46,5.60549,5,34.8341,0,1,284.879,15.4151,1,5.60549,0,"green","left",284.879,5.60549,279.27351,279.27351,0.980702962832887,290.48449,300.2941,"refresher",0.18
"yes","5b","pair-1","left",26,735.165,2.44978,24,151.749,0,23,148.545,2.40235,13,57.0559,25.6251,5,104.703,13.0127,"blue","right",104.703,57.0559,-47.6471,47.6471,0.647278140491806,161.7589,300.294,"refresher",0.13
"yes","6a","pair-1","right",26,241.344,0.804229,7,282.276,0,6,18.0176,26.6261,1,300.294,0,0,0,300,"green","left",300.294,0,300.294,300.294,1,300.294,300.2936,"refresher",0.15
"yes","6b","pair-1","left",26,330.784,1.10227,13,231.827,4.60451,13,68.467,0,4,37.837,10.6104,1,210.406,89.888,"green","right",210.406,37.837,172.569,172.569,0.847580797847271,248.243,300.294,"refresher",0.11
"yes","7a","pair-1","right",26,402.771,1.34215,9,254.85,7.00686,9,45.4445,0,3,197.593,56.4553,5,39.839,0,"blue","left",197.593,39.839,-157.754,157.754,0.832208800835608,237.432,300.2945,"refresher",0.31
"no","7b","pair-1","left",26,233.421,0.777825,14,215.411,0,13,84.8831,2.80274,6,241.236,2.80274,0,0,300,"blue","right",0,241.236,241.236,-241.236,0,241.236,300.2941,"refresher",0.13
"yes","8a","pair-1","right",26,379.854,1.26579,11,263.658,0,10,36.6359,4.8047,2,254.049,41.4406,2,22.422,0.600588,"green","left",254.049,22.422,231.627,231.627,0.918899269724492,276.471,300.2939,"refresher",0.17
"no","8b","pair-1","left",26,689.204,2.29663,23,124.322,8.20804,24,175.972,0,12,69.0676,0,7,47.6466,170.367,"blue","right",47.6466,69.0676,21.421,-21.421,0.408233102741569,116.7142,300.294,"refresher",0.14
"NA","1a","pair-a","right",27,677.799,2.25862,19,155.352,0,18,144.942,5.0049,14,136.934,0,5,18.2178,16.6163,"blue","left",136.934,18.2178,-118.7162,118.7162,0.88258080151181,155.1518,300.294,"test",0.29
"NA","1b","pair-a","right",27,624.975,2.0826,22,221.217,0,21,79.0774,64.4631,8,143.941,0,4,45.0441,78.2766,"green","left",143.941,45.0441,98.8969,98.8969,0.76165263822386,188.9851,300.2944,"test",0.1
"NA","2a","pair-a","right",27,824.671,2.74804,26,193.59,3.20314,26,106.704,0,13,106.304,0,6,65.2639,36.4357,"blue","left",106.304,65.2639,-41.0401,41.0401,0.619603084259934,171.5679,300.294,"test",0.2
"NA","2b","pair-a","left",27,570.227,1.90016,18,125.523,3.80372,19,174.771,0,4,156.553,2.80274,4,51.6506,26.6261,"blue","right",51.6506,156.553,104.9024,-104.9024,0.248077362735323,208.2036,300.294,"test",0.11
"NA","3a","pair-a","left",27,874.811,2.91513,21,158.956,0,20,141.338,6.20608,5,69.8684,44.0431,12,107.906,6.40627,"blue","right",107.906,69.8684,-38.0376,38.0376,0.606982782672871,177.7744,300.294,"test",0.2
"NA","3b","pair-a","left",27,954.304,3.18002,29,148.345,0,29,151.949,0.800784,12,55.2541,24.8243,8,68.8674,0,"green","right",68.8674,55.2541,13.6133,13.6133,0.554838605721007,124.1215,300.294,"test",0.12
